,gene,num_sig_phases,max_diff
1341,LAbrini_17600,2,0.13002423449999997
3403,LAbrini_04595,2,0.12986633700000005
2484,LAbrini_13195,2,0.129668454
3788,LAbrini_10550,2,0.129652916
509,LAbrini_19470,2,0.12887557200000002
529,LAbrini_15875,2,0.1286211
192,LAbrini_10065,2,0.12855277650000002
3376,LAbrini_11470,2,0.128486312
1854,LAbrini_18855,2,0.12828113399999996
90,LAbrini_18165,2,0.12817463599999998
346,LAbrini_08400,2,0.1276454595
1842,LAbrini_05750,2,0.12757445500000003
1819,LAbrini_04715,2,0.12753511100000003
1536,LAbrini_06545,2,0.1274777695
1563,LAbrini_06530,2,0.1274342475
1193,LAbrini_05755,2,0.12731971250000002
3247,LAbrini_17470,2,0.1271894
3202,LAbrini_00315,2,0.12713560699999998
2348,LAbrini_08550,2,0.1271232055
2181,LAbrini_04620,2,0.12687705100000002
1331,LAbrini_12745,2,0.12670653300000007
1200,LAbrini_00405,2,0.126609062
3116,LAbrini_17710,2,0.12630409599999998
527,LAbrini_16685,2,0.12622210150000002
2751,LAbrini_09385,2,0.12600324550000003
3355,LAbrini_19265,2,0.1259108875
1101,LAbrini_02760,2,0.12588748949999995
2818,LAbrini_19980,2,0.1258080955
2867,LAbrini_02235,2,0.12549340200000003
2325,LAbrini_12265,2,0.12537243250000002
471,LAbrini_08460,2,0.12525417400000002
898,LAbrini_04695,2,0.1252515655
2321,LAbrini_03335,2,0.12498795600000001
3761,LAbrini_08085,2,0.12496058649999997
2174,LAbrini_17830,2,0.12474253099999996
2672,LAbrini_19680,2,0.1244779895
358,LAbrini_16535,2,0.12433366000000001
3545,LAbrini_03900,2,0.12432549050000002
1633,LAbrini_00515,2,0.12401455949999995
3711,LAbrini_12605,2,0.12391541700000003
1806,LAbrini_17075,2,0.12388952749999999
1545,LAbrini_02075,2,0.12363740700000003
1846,LAbrini_12550,2,0.12299198350000007
2861,LAbrini_02270,2,0.12293470550000002
2894,LAbrini_18775,2,0.12285119600000005
1135,LAbrini_12870,2,0.122720612
1564,LAbrini_06950,2,0.12258880350000001
3652,LAbrini_15800,2,0.12246680650000002
980,LAbrini_04365,2,0.122432227
2312,LAbrini_03350,2,0.12239762599999998
1851,LAbrini_16005,2,0.12230848650000004
1885,LAbrini_15870,2,0.12204439249999999
625,LAbrini_04340,2,0.1215077075
451,LAbrini_12570,2,0.12112594749999994
970,LAbrini_02395,2,0.12108108950000002
2421,LAbrini_17145,2,0.121059113
2509,LAbrini_03235,2,0.12101184749999999
2997,LAbrini_09530,2,0.12099483
3259,LAbrini_15025,2,0.12079145150000004
3150,LAbrini_11645,2,0.12073551799999999
162,LAbrini_13005,2,0.12069848650000004
719,LAbrini_19515,2,0.12057665550000002
320,LAbrini_04945,2,0.12052139099999998
1367,LAbrini_11760,2,0.12050729649999999
1429,LAbrini_19020,2,0.12048562250000001
1303,LAbrini_10540,2,0.12040770549999999
2761,LAbrini_12720,2,0.12033254799999998
958,LAbrini_14520,2,0.12029918049999999
2179,LAbrini_05625,2,0.12028497549999997
617,LAbrini_09190,2,0.12019303399999998
1576,LAbrini_00090,2,0.11998351400000001
111,LAbrini_01735,2,0.1199260365
468,LAbrini_14895,2,0.11977543949999997
2392,LAbrini_00675,2,0.11967247250000002
827,LAbrini_19380,2,0.11956515699999998
3127,LAbrini_19490,2,0.11946585600000001
933,LAbrini_18525,2,0.11941867249999999
1786,LAbrini_15620,2,0.11890587549999998
458,LAbrini_00420,2,0.11888000650000002
2052,LAbrini_11160,2,0.11834582400000004
750,LAbrini_19070,2,0.11829684400000001
1614,LAbrini_01580,2,0.11795372200000004
310,LAbrini_15850,2,0.11791502799999999
2339,LAbrini_12250,2,0.117900232
1953,LAbrini_12840,2,0.11765876649999996
1342,LAbrini_12805,2,0.117316741
223,LAbrini_15780,2,0.1170441995
595,LAbrini_03305,2,0.116823436
1631,LAbrini_04200,2,0.1168065445
619,LAbrini_11370,2,0.1165770515
2333,LAbrini_20000,2,0.11651047499999997
2116,LAbrini_16955,2,0.116503892
1918,LAbrini_12280,2,0.11641402099999995
1951,LAbrini_06725,2,0.1160958715
3487,LAbrini_11705,2,0.11596396900000006
1706,LAbrini_12680,2,0.11576677449999997
1210,LAbrini_08270,2,0.115297908
232,LAbrini_04235,2,0.11515464699999994
342,LAbrini_04450,2,0.11511279400000002
1417,LAbrini_11565,2,0.11484755750000003
1157,LAbrini_19895,2,0.114659014
1336,LAbrini_04485,2,0.11445565700000004
1889,LAbrini_05550,2,0.1142240745
1783,LAbrini_17715,2,0.11409082400000001
1588,LAbrini_10810,2,0.11397324100000002
512,LAbrini_10455,2,0.1139242755
2149,LAbrini_16475,2,0.11369510899999996
2227,LAbrini_12135,2,0.11368086150000001
748,LAbrini_10435,2,0.11354631850000008
1880,LAbrini_03530,2,0.1134635295
1679,LAbrini_16975,2,0.1132262645
173,LAbrini_00710,2,0.11286797100000001
1368,LAbrini_16890,2,0.1128636905
691,LAbrini_04870,2,0.11285156549999997
826,LAbrini_18750,2,0.11281634149999997
1663,LAbrini_13265,2,0.11272127750000002
1869,LAbrini_18205,2,0.11251505299999998
1205,LAbrini_03170,2,0.112240856
2899,LAbrini_02690,2,0.11216803349999993
3235,LAbrini_13185,2,0.11213102099999994
3721,LAbrini_10605,2,0.112102327
3489,LAbrini_01910,2,0.11181388099999995
828,LAbrini_08880,2,0.111787061
1543,LAbrini_07555,2,0.1117771595
3168,LAbrini_14950,2,0.111723621
3292,LAbrini_14530,2,0.111658378
